Transaction_ID,Date,Customer_ID,Account_Type,Transaction_Type,Category,Amount,Currency,Description,Location,Balance_After
FIN-20047,2023-09-08,CUST-127,Investment,Transfer,External Transfer,710235.56,IDR,Transfer for External Transfer at Makassar,Makassar,8239313.5
FIN-20048,2023-05-19,CUST-257,Investment,Expense,Education,275711.58,IDR,Expense for Education at Jakarta,Jakarta,31198180.75
FIN-20049,2023-05-23,CUST-215,Checking,Expense,Education,614228.39,IDR,Expense for Education,,43164491.1
FIN-20050,2023-06-16,CUST-146,Investment,Expense,Dining Out,203152.48,IDR,Expense for Dining Out at Bandung,Bandung,9341911.84
FIN-20051,2023-10-12,CUST-102,Checking,Income,Freelance,493692.07,IDR,Income for Freelance at Makassar,Makassar,16930470.69
FIN-20052,2023-12-31,CUST-225,Investment,Expense,Groceries,182406.01,IDR,Expense for Groceries at Makassar,Makassar,19303241.07
FIN-20053,2023-10-25,CUST-194,Investment,Expense,Entertainment,431248.77,IDR,Expense for Entertainment at Makassar,Makassar,8134002.53
FIN-20054,2023-08-21,CUST-169,Credit Card,Expense,Groceries,374577.95,IDR,Expense for Groceries at Denpasar,Denpasar,16673761.47
FIN-20055,2023-12-20,CUST-147,Checking,Expense,Insurance,283734.63,IDR,Expense for Insurance at Semarang,Semarang,16993378.51
FIN-20056,2023-05-25,CUST-125,Checking,Expense,Entertainment,187647.13,IDR,Expense for Entertainment at Bandung,Bandung,19959107.4
FIN-20057,2023-01-24,CUST-113,Credit Card,Expense,Utilities,641490.96,IDR,Expense for Utilities at Jakarta,Jakarta,12904648.45
FIN-20058,2023-10-21,CUST-172,Investment,Expense,Entertainment,192520.03,IDR,Expense for Entertainment at Medan,Medan,44244023.16
FIN-20059,2023-02-28,CUST-116,Investment,Expense,Education,633151.25,IDR,Expense for Education at Semarang,Semarang,14286676.74
FIN-20060,2023-06-05,CUST-121,Checking,Income,Freelance,610254.47,IDR,Income for Freelance at Semarang,Semarang,37026527.25
FIN-20061,2023-07-14,CUST-215,Investment,Expense,Education,990130.95,IDR,Expense for Education at Semarang,Semarang,42174360.15
FIN-20062,2023-02-20,CUST-295,Checking,Expense,Dining Out,347192.66,IDR,Expense for Dining Out at Jakarta,Jakarta,43413517.05
FIN-20063,2023-03-22,CUST-100,Investment,Expense,Education,475213.35,IDR,Expense for Education at Bandung,Bandung,33006595.84
FIN-20064,2023-12-26,CUST-216,Savings,Expense,Dining Out,404522.61,IDR,Expense for Dining Out at Surabaya,Surabaya,18025493.0
FIN-20065,2023-08-06,CUST-129,Checking,Expense,Dining Out,421984.02,IDR,Expense for Dining Out at Bandung,Bandung,31745687.39
FIN-20066,2023-11-01,CUST-291,Credit Card,Expense,Insurance,691791.21,IDR,Expense for Insurance at Semarang,Semarang,16842740.3
FIN-20067,2023-10-04,CUST-226,Investment,Income,Salary,18341343.34,IDR,Income for Salary at Jakarta,Jakarta,24217796.75
FIN-20068,2023-02-16,CUST-158,Savings,Transfer,External Transfer,580484.51,IDR,Transfer for External Transfer at Semarang,Semarang,11772627.7
FIN-20069,2023-11-30,CUST-213,Credit Card,Income,Gift,441526.14,IDR,Income for Gift at Medan,Medan,13480860.76
FIN-20070,2023-06-28,CUST-204,Credit Card,Expense,Groceries,435979.89,IDR,Expense for Groceries at Bandung,Bandung,16571153.66
FIN-20071,2023-12-06,CUST-202,Savings,Expense,Entertainment,259874.86,IDR,Expense for Entertainment at Denpasar,Denpasar,35417091.74
FIN-20072,2023-09-21,CUST-100,Investment,Expense,Transportation,283297.73,IDR,Expense for Transportation at Medan,Medan,32723298.11
FIN-20073,2023-01-27,CUST-152,Credit Card,Expense,Dining Out,247152.24,IDR,Expense for Dining Out at Makassar,Makassar,16766849.75
FIN-20074,2023-11-08,CUST-161,Checking,Expense,Rent,3432879.93,IDR,Expense for Rent at Jakarta,Jakarta,30111358.2
FIN-20075,2023-08-25,CUST-130,Checking,Expense,Dining Out,278992.41,IDR,Expense for Dining Out at Medan,Medan,41041779.89
FIN-20076,2023-05-05,CUST-216,Checking,Expense,Education,513158.48,IDR,Expense for Education at Bandung,Bandung,17512334.52
FIN-20077,2023-08-01,CUST-187,Credit Card,Expense,Dining Out,376722.94,IDR,Expense for Dining Out at Makassar,Makassar,27551960.27
FIN-20078,2023-09-08,CUST-138,Investment,Expense,Entertainment,339115.56,IDR,Expense for Entertainment at Bandung,Bandung,43437694.96
FIN-20079,2023-04-07,CUST-278,Checking,Expense,Transportation,435205.84,IDR,Expense for Transportation at Medan,Medan,23625832.2
FIN-20080,2023-12-28,CUST-197,Investment,Transfer,Internal Transfer,500375.36,IDR,Transfer for Internal Transfer at Semarang,Semarang,28309770.17
FIN-20081,2023-06-19,CUST-125,Investment,Income,Freelance,25194.12,IDR,Income for Freelance at Surabaya,Surabaya,19984301.52
FIN-20082,2023-02-08,CUST-220,Credit Card,Expense,Healthcare,653338.29,IDR,Expense for Healthcare at Denpasar,Denpasar,38659647.72
FIN-20083,2023-10-01,CUST-197,Credit Card,Expense,Insurance,873659.19,IDR,Expense for Insurance at Makassar,Makassar,27436110.98
FIN-20084,2023-12-17,CUST-173,Checking,Expense,Healthcare,978554.35,IDR,Expense for Healthcare at Jakarta,Jakarta,17571355.33
FIN-20085,2023-08-16,CUST-142,Credit Card,Transfer,Internal Transfer,331130.92,IDR,Transfer for Internal Transfer at Medan,Medan,14924291.48
FIN-20086,2023-03-16,CUST-162,Investment,Expense,Utilities,178283.81,IDR,Expense for Utilities at Semarang,Semarang,29451822.7
FIN-20087,2023-12-16,CUST-161,Investment,Transfer,Internal Transfer,239866.56,IDR,Transfer for Internal Transfer at Makassar,Makassar,29871491.64
FIN-20088,2023-01-05,CUST-219,Credit Card,Expense,Utilities,83123.28,IDR,Expense for Utilities at Bandung,Bandung,10886784.23
FIN-20089,2023-11-24,CUST-208,Credit Card,Expense,Dining Out,139647.65,IDR,Expense for Dining Out at Surabaya,Surabaya,25277919.14
FIN-20090,2023-07-15,CUST-246,Credit Card,Expense,Dining Out,59872.82,IDR,Expense for Dining Out at Jakarta,Jakarta,29208451.18
FIN-20091,2023-10-17,CUST-275,Savings,Transfer,External Transfer,834510.51,IDR,Transfer for External Transfer at Surabaya,Surabaya,12256942.12
FIN-20092,2023-11-07,CUST-190,Checking,Expense,Education,258120.53,IDR,Expense for Education at Makassar,Makassar,9676090.33
FIN-20093,2023-03-12,CUST-260,Savings,Transfer,Internal Transfer,315843.56,IDR,Transfer for Internal Transfer at Makassar,Makassar,7878845.32
FIN-20094,2023-03-09,CUST-123,Credit Card,Expense,Healthcare,183883.67,IDR,Expense for Healthcare at Bandung,Bandung,11399740.52
FIN-20095,2023-09-29,CUST-228,Credit Card,Expense,Dining Out,461322.03,IDR,Expense for Dining Out at Bandung,Bandung,44081162.47
FIN-20096,2023-06-23,CUST-129,Investment,Transfer,Internal Transfer,756609.98,IDR,Transfer for Internal Transfer at Makassar,Makassar,30989077.41
FIN-20097,2023-07-23,CUST-242,Credit Card,Income,Freelance,23779.47,IDR,Income for Freelance at Makassar,Makassar,16951327.77
FIN-20098,2023-12-11,CUST-167,Investment,Expense,Entertainment,117262.64,IDR,Expense for Entertainment,,6327248.33
FIN-20099,2023-10-15,CUST-183,Checking,Expense,Insurance,910293.76,IDR,Expense for Insurance at Surabaya,Surabaya,44491736.0
FIN-20100,2023-01-24,CUST-109,Credit Card,Transfer,Internal Transfer,106220.08,IDR,Transfer for Internal Transfer at Medan,Medan,6234654.8
FIN-20101,2023-07-09,CUST-271,Investment,Expense,Utilities,886559.65,IDR,Expense for Utilities at Semarang,Semarang,29810379.55
FIN-20102,2023-07-28,CUST-171,Savings,Expense,Transportation,249522.39,IDR,Expense for Transportation at Jakarta,Jakarta,47181414.76
FIN-20103,2023-12-18,CUST-194,Credit Card,Income,Investment Return,460636.27,IDR,Income for Investment Return at Medan,Medan,8594638.8
FIN-20104,2023-02-16,CUST-269,Checking,Expense,Education,971382.38,IDR,Expense for Education at Surabaya,Surabaya,10496282.52
FIN-20105,2023-10-17,CUST-152,Savings,Expense,Shopping,215085.8,IDR,Expense for Shopping at Bandung,Bandung,16551763.95
FIN-20106,2023-03-17,CUST-252,Savings,Expense,Utilities,987652.03,IDR,Expense for Utilities at Jakarta,Jakarta,23726851.74
FIN-20107,2023-12-05,CUST-106,Checking,Income,Bonus,592964.39,IDR,Income for Bonus at Surabaya,Surabaya,45741044.94
FIN-20108,2023-08-04,CUST-234,Savings,Expense,Insurance,453792.46,IDR,Expense for Insurance at Medan,Medan,8400612.88
FIN-20109,2023-09-15,CUST-156,Savings,Expense,Shopping,308614.03,IDR,Expense for Shopping at Medan,Medan,9531624.93
FIN-20110,2023-07-25,CUST-209,Savings,Expense,Insurance,82755.81,IDR,Expense for Insurance at Jakarta,Jakarta,47779179.14
FIN-20111,2023-03-06,CUST-170,Credit Card,Expense,Education,535251.27,IDR,Expense for Education at Jakarta,Jakarta,13958976.69
FIN-20112,2023-12-26,CUST-129,Checking,Expense,Transportation,236216.11,IDR,Expense for Transportation at Makassar,Makassar,30752861.3
FIN-20113,2023-02-18,CUST-180,Investment,Expense,Dining Out,218435.46,IDR,Expense for Dining Out at Jakarta,Jakarta,30043130.58
FIN-20114,2023-02-16,CUST-121,Savings,Expense,Entertainment,813651.59,IDR,Expense for Entertainment at Semarang,Semarang,36212875.66
FIN-20115,2023-10-15,CUST-184,Savings,Expense,Healthcare,869411.23,IDR,Expense for Healthcare at Semarang,Semarang,22103611.5
FIN-20116,2023-06-09,CUST-190,Savings,Expense,Transportation,119628.58,IDR,Expense for Transportation at Bandung,Bandung,9556461.75
FIN-20117,2023-10-12,CUST-194,Savings,Expense,Education,233897.5,IDR,Expense for Education at Denpasar,Denpasar,8360741.29
FIN-20118,2023-11-15,CUST-257,Savings,Expense,Dining Out,63028.93,IDR,Expense for Dining Out at Bandung,Bandung,31135151.82
FIN-20119,2023-06-29,CUST-101,Checking,Expense,Education,660771.19,IDR,Expense for Education at Jakarta,Jakarta,5464712.8
FIN-20120,2023-02-16,CUST-291,Checking,Expense,Insurance,347487.02,IDR,Expense for Insurance at Denpasar,Denpasar,16495253.28
FIN-20121,2023-10-18,CUST-252,Savings,Expense,Utilities,165835.8,IDR,Expense for Utilities at Bandung,Bandung,23561015.95
FIN-20122,2023-08-15,CUST-269,Investment,Expense,Insurance,420041.9,IDR,Expense for Insurance at Bandung,Bandung,10076240.62
FIN-20123,2023-08-09,CUST-128,Credit Card,Expense,Education,491766.43,IDR,Expense for Education at Medan,Medan,42095345.67
FIN-20124,2023-11-03,CUST-114,Savings,Expense,Transportation,395307.29,IDR,Expense for Transportation at Jakarta,Jakarta,32929299.15
FIN-20125,2023-01-04,CUST-227,Investment,Income,Freelance,537256.52,IDR,Income for Freelance at Makassar,Makassar,47346694.26
FIN-20126,2023-07-01,CUST-118,Investment,Expense,Rent,3026768.58,IDR,Expense for Rent at Bandung,Bandung,38397601.97
FIN-20127,2023-10-22,CUST-209,Investment,Expense,Healthcare,296620.05,IDR,Expense for Healthcare at Surabaya,Surabaya,47482559.09
FIN-20128,2023-11-13,CUST-217,Credit Card,Income,Salary,8649747.12,IDR,Income for Salary at Medan,Medan,42402474.39
FIN-20129,2023-06-08,CUST-290,Credit Card,Expense,Utilities,85615.58,IDR,Expense for Utilities at Surabaya,Surabaya,23899058.21
FIN-20130,2023-06-28,CUST-189,Checking,Expense,Utilities,263408.54,IDR,Expense for Utilities at Denpasar,Denpasar,6706512.76
FIN-20131,2023-12-02,CUST-119,Checking,Transfer,External Transfer,469313.54,IDR,Transfer for External Transfer at Makassar,Makassar,4496618.17
FIN-20132,2023-10-17,CUST-264,Credit Card,Expense,Entertainment,159447.83,IDR,Expense for Entertainment at Bandung,Bandung,43524145.18
FIN-20133,2023-05-21,CUST-251,Savings,Expense,Groceries,189683.53,IDR,Expense for Groceries at Denpasar,Denpasar,34054829.06
FIN-20134,2023-05-27,CUST-119,Savings,Expense,Shopping,390637.65,IDR,Expense for Shopping at Makassar,Makassar,4105980.52
FIN-20135,2023-01-22,CUST-215,Checking,Expense,Insurance,506353.63,IDR,Expense for Insurance at Denpasar,Denpasar,41668006.52
FIN-20136,2023-06-25,CUST-282,Savings,Expense,Utilities,48750.7,IDR,Expense for Utilities at Semarang,Semarang,49238683.81
FIN-20137,2023-09-25,CUST-256,Checking,Expense,Dining Out,224337.45,IDR,Expense for Dining Out at Jakarta,Jakarta,19989512.84
FIN-20138,2023-11-20,CUST-265,Credit Card,Income,Salary,13369448.19,IDR,Income for Salary at Denpasar,Denpasar,21558028.93
FIN-20139,2023-12-03,CUST-254,Checking,Expense,Education,666975.98,IDR,Expense for Education at Makassar,Makassar,9778212.83
FIN-20140,2023-12-24,CUST-269,Investment,Income,Salary,9643728.31,IDR,Income for Salary at Denpasar,Denpasar,19719968.93
FIN-20141,2023-03-07,CUST-271,Savings,Expense,Healthcare,513403.6,IDR,Expense for Healthcare at Surabaya,Surabaya,29296975.95
FIN-20142,2023-06-24,CUST-296,Investment,Income,Bonus,163395.72,IDR,Income for Bonus at Semarang,Semarang,30689641.29
FIN-20143,2023-10-04,CUST-289,Savings,Expense,Education,139738.55,IDR,Expense for Education at Denpasar,Denpasar,25047871.1
FIN-20144,2023-12-21,CUST-297,Checking,Expense,Rent,2938005.14,IDR,Expense for Rent at Medan,Medan,3810076.2
FIN-20145,2023-11-09,CUST-172,Investment,Expense,Transportation,189260.55,IDR,Expense for Transportation at Denpasar,Denpasar,44054762.6
FIN-20146,2023-04-10,CUST-194,Investment,Expense,Dining Out,400155.82,IDR,Expense for Dining Out at Surabaya,Surabaya,7960585.48
FIN-20147,2023-04-13,CUST-254,Checking,Expense,Rent,3744126.63,IDR,Expense for Rent at Jakarta,Jakarta,6034086.2
FIN-20148,2023-12-31,CUST-232,Savings,Expense,Utilities,280063.39,IDR,Expense for Utilities at Medan,Medan,44230368.58
FIN-20149,2023-02-16,CUST-156,Investment,Expense,Rent,2952139.17,IDR,Expense for Rent at Medan,Medan,6579485.76
FIN-20150,2023-02-11,CUST-195,Checking,Income,Salary,17587644.31,IDR,Income for Salary at Surabaya,Surabaya,39760512.21
FIN-20151,2023-01-20,CUST-173,Investment,Expense,Utilities,761252.74,IDR,Expense for Utilities at Jakarta,Jakarta,16810102.59
FIN-20152,2023-01-10,CUST-165,Checking,Expense,Shopping,940823.69,IDR,Expense for Shopping at Denpasar,Denpasar,38979172.33
FIN-20153,2023-05-28,CUST-160,Credit Card,Income,Bonus,425627.29,IDR,Income for Bonus at Jakarta,Jakarta,49954178.07
FIN-20154,2023-09-13,CUST-252,Savings,Expense,Education,249518.75,IDR,Expense for Education at Semarang,Semarang,23311497.19
FIN-20155,2023-06-30,CUST-161,Investment,Income,Salary,12852268.37,IDR,Income for Salary at Semarang,Semarang,42723760.01
FIN-20156,2023-09-17,CUST-229,Savings,Expense,Insurance,53099.08,IDR,Expense for Insurance at Makassar,Makassar,42371849.74
FIN-20157,2023-01-09,CUST-191,Savings,Expense,Groceries,397175.62,IDR,Expense for Groceries at Jakarta,Jakarta,32837896.26
FIN-20158,2023-06-30,CUST-239,Credit Card,Expense,Utilities,832079.82,IDR,Expense for Utilities at Medan,Medan,9945536.08
FIN-20159,2023-11-20,CUST-146,Checking,Income,Freelance,46613.95,IDR,Income for Freelance at Jakarta,Jakarta,9388525.8
FIN-20160,2023-06-11,CUST-179,Investment,Transfer,External Transfer,260780.63,IDR,Transfer for External Transfer at Bandung,Bandung,15837457.22
FIN-20161,2023-01-25,CUST-267,Credit Card,Expense,Entertainment,442581.87,IDR,Expense for Entertainment at Medan,Medan,34261128.97
FIN-20162,2023-06-23,CUST-147,Investment,Expense,Entertainment,925067.36,IDR,Expense for Entertainment at Makassar,Makassar,16068311.15
FIN-20163,2023-08-06,CUST-120,Investment,Expense,Utilities,550019.65,IDR,Expense for Utilities at Makassar,Makassar,40711846.68
FIN-20164,2023-06-01,CUST-178,Investment,Expense,Healthcare,174978.32,IDR,Expense for Healthcare at Makassar,Makassar,16744629.17
FIN-20165,2023-06-30,CUST-257,Investment,Expense,Rent,1762644.08,IDR,Expense for Rent at Denpasar,Denpasar,29372507.74
FIN-20166,2023-12-14,CUST-140,Savings,Income,Gift,681307.98,IDR,Income for Gift at Surabaya,Surabaya,37387040.61
FIN-20167,2023-11-27,CUST-193,Credit Card,Expense,Education,42061.47,IDR,Expense for Education at Bandung,Bandung,23955137.04
FIN-20168,2023-07-10,CUST-213,Savings,Expense,Shopping,373280.45,IDR,Expense for Shopping at Jakarta,Jakarta,13107580.31
FIN-20169,2023-01-14,CUST-288,Checking,Expense,Healthcare,914407.08,IDR,Expense for Healthcare at Makassar,Makassar,12644993.8
FIN-20170,2023-08-17,CUST-154,Credit Card,Expense,Insurance,208176.56,IDR,Expense for Insurance at Surabaya,Surabaya,33953415.78
FIN-20171,2024-01-01,CUST-213,Savings,Expense,Entertainment,671161.39,IDR,Expense for Entertainment at Bandung,Bandung,12436418.92
FIN-20172,2023-06-03,CUST-140,Checking,Expense,Shopping,231999.2,IDR,Expense for Shopping at Surabaya,Surabaya,37155041.41
FIN-20173,2023-09-10,CUST-106,Credit Card,Expense,Entertainment,472731.78,IDR,Expense for Entertainment at Jakarta,Jakarta,45268313.16
FIN-20174,2023-02-03,CUST-179,Investment,Transfer,External Transfer,530438.7,IDR,Transfer for External Transfer at Jakarta,Jakarta,15307018.52
FIN-20175,2023-03-06,CUST-181,Savings,Expense,Shopping,351069.63,IDR,Expense for Shopping at Makassar,Makassar,16039829.4
FIN-20176,2023-10-28,CUST-146,Checking,Expense,Rent,4409867.82,IDR,Expense for Rent at Surabaya,Surabaya,4978657.97
FIN-20177,2023-06-15,CUST-281,Checking,Expense,Shopping,895976.66,IDR,Expense for Shopping at Makassar,Makassar,34405427.97
FIN-20178,2023-10-10,CUST-170,Checking,Expense,Education,538143.25,IDR,Expense for Education at Semarang,Semarang,13420833.44
FIN-20179,2023-03-20,CUST-143,Credit Card,Expense,Education,50782.36,IDR,Expense for Education at Makassar,Makassar,17971676.0
FIN-20180,2023-10-23,CUST-167,Checking,Expense,Healthcare,621927.34,IDR,Expense for Healthcare at Semarang,Semarang,5705320.99
FIN-20181,2023-05-29,CUST-264,Credit Card,Expense,Healthcare,304459.53,IDR,Expense for Healthcare at Medan,Medan,43219685.65
FIN-20182,2023-08-01,CUST-223,Investment,Expense,Education,152232.0,IDR,Expense for Education at Denpasar,Denpasar,28713683.24
FIN-20183,2023-06-26,CUST-202,Checking,Expense,Shopping,566034.7,IDR,Expense for Shopping at Bandung,Bandung,34851057.04
FIN-20184,2023-08-19,CUST-163,Checking,Income,Investment Return,1896231.3,IDR,Income for Investment Return at Denpasar,Denpasar,37703872.59
FIN-20185,2023-03-23,CUST-183,Credit Card,Income,Bonus,503282.89,IDR,Income for Bonus at Bandung,Bandung,44995018.89
FIN-20186,2023-09-12,CUST-105,Savings,Transfer,External Transfer,967019.76,IDR,Transfer for External Transfer at Jakarta,Jakarta,33811692.91
FIN-20187,2023-05-25,CUST-226,Investment,Expense,Rent,4465103.28,IDR,Expense for Rent at Makassar,Makassar,19752693.47
FIN-20188,2023-07-07,CUST-295,Investment,Expense,Healthcare,60646.11,IDR,Expense for Healthcare at Bandung,Bandung,43352870.94
FIN-20189,2023-02-07,CUST-198,Investment,Expense,Dining Out,421390.09,IDR,Expense for Dining Out at Surabaya,Surabaya,48277136.9
FIN-20190,2023-02-19,CUST-200,Credit Card,Expense,Entertainment,562253.52,IDR,Expense for Entertainment at Semarang,Semarang,4954392.47
FIN-20191,2023-09-18,CUST-202,Savings,Income,Bonus,716455.93,IDR,Income for Bonus at Surabaya,Surabaya,35567512.97
FIN-20192,2023-11-07,CUST-231,Checking,Expense,Education,325344.73,IDR,Expense for Education at Denpasar,Denpasar,7281287.76
FIN-20193,2023-06-03,CUST-251,Credit Card,Expense,Shopping,537016.43,IDR,Expense for Shopping at Denpasar,Denpasar,33517812.63
FIN-20194,2023-01-09,CUST-194,Credit Card,Expense,Healthcare,587865.12,IDR,Expense for Healthcare at Makassar,Makassar,7372720.36
FIN-20195,2023-11-19,CUST-106,Investment,Expense,Education,581858.05,IDR,Expense for Education at Surabaya,Surabaya,44686455.11
FIN-20196,2023-09-26,CUST-261,Investment,Income,Bonus,41254.81,IDR,Income for Bonus at Jakarta,Jakarta,33440887.89
FIN-20197,2023-08-14,CUST-180,Investment,Income,Bonus,416273.64,IDR,Income for Bonus at Denpasar,Denpasar,30459404.21
FIN-20198,2023-02-01,CUST-280,Checking,Expense,Shopping,331799.04,IDR,Expense for Shopping at Bandung,Bandung,37476614.19
FIN-20199,2023-03-30,CUST-217,Credit Card,Expense,Dining Out,324534.46,IDR,Expense for Dining Out at Semarang,Semarang,42077939.93
FIN-20200,2023-06-02,CUST-157,Credit Card,Expense,Transportation,360607.96,IDR,Expense for Transportation at Semarang,Semarang,37450097.95
FIN-20201,2023-05-21,CUST-173,Savings,Expense,Shopping,385897.24,IDR,Expense for Shopping at Denpasar,Denpasar,16424205.34
FIN-20202,2023-03-16,CUST-174,Savings,Expense,Groceries,205863.58,IDR,Expense for Groceries at Medan,Medan,34288876.36
